Altitud,Presion,Temperatura,Velocidad,Aceleracion,Tiempo,AclX,AclY,AclZ,GiroX,GiroY,GiroZ,Lat,Long,Altgps,AltMAX
2116.134,783.586,23.61035,9.750125,1.129391e-05,863308,-0.02246094,0.02368164,0.9938965,2.656489,-0.4274809,-0.1679389,0,0,0,2127.5
2115.687,783.6298,23.60547,9.69504,1.121711e-05,864308,-0.0246582,0.02294922,0.9882813,2.70229,-0.3358779,-0.2748091,0,0,0,2127.5
2116.202,783.5795,23.60547,9.623189,1.112124e-05,865298,-0.02734375,0.02172852,0.980957,2.603053,-0.5343512,-0.2977099,0,0,0,2127.5
2116.068,783.5925,23.61523,9.656719,1.114711e-05,866298,-0.02099609,0.02490234,0.984375,2.824427,-0.5801527,-0.3129771,0,0,0,2127.5
2115.161,783.681,23.625,9.685459,1.11674e-05,867298,-0.02490234,0.02661133,0.9873047,2.770992,-0.3969466,-0.1832061,2008.07827,09822.97752,2117.8,2127.5
2115.801,783.6185,23.63457,9.707015,1.115944e-05,869848,-0.02490234,0.02197266,0.989502,2.648855,-0.1832061,-0.1603053,2008.07827,09822.97752,2117.8,2127.5
2115.621,783.6362,23.61035,9.711804,1.112836e-05,872708,-0.0234375,0.02148438,0.9899902,2.641221,-0.5877862,-0.3206107,2008.07827,09822.97752,2117.8,2127.5
2115.925,783.6064,23.64434,9.635164,1.10046e-05,875558,-0.02441406,0.02075195,0.9821777,2.770992,-0.5877862,-0.2748091,2008.07827,09822.97752,2117.8,2127.5
2115.724,783.6261,23.65899,9.711804,1.105602e-05,878418,-0.02441406,0.0234375,0.9899902,2.717557,-0.4503817,-0.2290076,2008.07827,09822.97752,2117.8,2127.5
2115.848,783.614,23.66875,9.457932,1.068032e-05,885548,-0.02539063,0.02490234,0.9641113,2.175573,-0.3358779,-0.1755725,2008.07827,09822.97752,2117.8,2127.5
2115.78,783.6206,23.67363,9.77647,1.100448e-05,888408,-0.02416992,0.02319336,0.996582,2.587786,-0.4656488,-0.1984733,2008.07827,09822.97752,2117.8,2127.5
2116.601,783.5405,23.70762,9.7142,1.089943e-05,891258,-0.02612305,0.0222168,0.9902344,2.381679,-0.2977099,-0.07633588,2008.07827,09822.97752,2117.8,2127.5
2116.295,783.5704,23.67363,9.718989,1.085268e-05,895538,-0.02197266,0.02392578,0.9907227,2.549618,-0.4656488,0.01526718,2008.07827,09822.97752,2117.8,2127.5
2115.793,783.6194,23.6541,9.707015,1.080493e-05,898388,-0.01977539,0.02587891,0.989502,2.847328,-0.4503817,-0.2977099,2008.07827,09822.97752,2117.8,2127.5
2116.269,783.5731,23.60059,9.642349,1.068217e-05,902658,-0.02050781,0.02270508,0.9829102,2.854962,-0.4503817,-0.07633588,2008.07827,09822.97752,2117.8,2127.5
2115.238,783.6735,23.60059,9.534574,1.053058e-05,905418,-0.0234375,0.03051758,0.9719238,2.381679,0.1068702,-0.1374046,2008.07603,09822.97682,2119.9,2127.5
2116.184,783.5812,23.64434,9.74294,1.072694e-05,908268,-0.02246094,0.02587891,0.9931641,2.59542,-0.5419847,-0.2366412,2008.07746,09822.97660,2120.2,2127.5
2116.229,783.577,23.67852,9.704619,1.067159e-05,909388,-0.02441406,0.02172852,0.9892578,2.343511,-0.4580153,-0.2519084,2008.07746,09822.97660,2120.2,21
2116.276,783.5723,23.7125,9.759705,1.064868e-05,916518,-0.02539063,0.02368164,0.994873,2.832061,-0.6946565,-0.3206107,2008.07797,09822.97640,2120.8,2127.5
2115.965,783.6027,23.69785,9.68067,1.055289e-05,917348,-0.02197266,0.0246582,0.9868164,2.770992,-0.5801527,-0.1832061,2008.07797,09822.97640,2120.8,2127.5
2116.467,783.5536,23.71738,9.678274,1.053397e-05,918768,-0.02148438,0.02416992,0.9865723,2.641221,-0.7175572,-0.2061069,2008.07823,09822.97614,2120.7,2127.5
2116.123,783.587,23.76113,9.70941,1.045317e-05,928848,-0.02734375,0.0234375,0.9897461,2.916031,-0.6183206,-0.2290076,2008.07785,09822.97433,2122.8,2127.5
2115.848,783.614,23.8,9.642349,1.034933e-05,931688,-0.02514648,0.02050781,0.9829102,2.366412,-0.4885496,-0.04580153,2008.07785,09822.97433,2122.8,2127.5
2116.657,783.535,23.85352,9.589659,1.026139e-05,934538,-0.01953125,0.02734375,0.9775391,2.328244,-0.2519084,-0.4503817,2008.07778,09822.97552,2121.8,2127.5
2115.753,783.6233,23.86328,9.70941,1.038031e-05,935368,-0.0234375,0.02685547,0.9897461,2.206107,-0.3282443,-0.129771,2008.07778,09822.97552,2121.8,2127.5
2115.801,783.6185,23.89727,9.788445,1.035334e-05,945438,-0.02661133,0.02075195,0.9978027,2.732824,-0.4885496,-0.2442748,2008.07887,09822.97770,2122.1,2127.5
2115.6,783.6382,23.91191,9.656719,1.019859e-05,946868,-0.02587891,0.02514648,0.984375,2.625954,-0.5038168,-0.1526718,2008.07882,09822.97772,2122.2,2127.5
2115.526,783.6454,23.93613,9.802815,1.032486e-05,949438,-0.02368164,0.02319336,0.9992676,3.099237,-0.6717557,-0.1755725,2008.07832,09822.97727,2122.1,2127.5
2115.917,783.6074,24.05781,9.604029,9.989754e-06,961388,-0.02709961,0.02734375,0.9790039,2.549618,-0.4274809,-0.1526718,2008.08030,09822.97831,2121.4,2127.5
2116.089,783.5906,24.10156,9.821976,9.967522e-06,985398,-0.02612305,0.0222168,1.001221,2.717557,-0.5496183,-0.2366412,2008.08198,09822.97869,2122.6,2127.5
2116.023,783.597,24.10645,9.649534,9.778433e-06,986818,-0.02441406,0.02636719,0.9836426,2.770992,-0.519084,-0.09160305,2008.08174,09822.97864,2122.4,2127.5
2115.909,783.6082,24.07715,9.697434,9.807494e-06,988778,-0.0168457,0.02441406,0.9885254,2.480916,-0.5801527,-0.2137404,2008.08074,09822.97830,2122.3,2127.5
2115.727,783.6259,24.05293,9.618399,9.721367e-06,989408,-0.02319336,0.02905273,0.9804688,2.648855,-0.3740458,-0.2748091,2008.08074,09822.97830,2122.3,2127.5
2115.764,783.6222,24.10645,9.656719,9.706923e-06,994828,-0.02319336,0.02416992,0.984375,2.870229,-0.4732824,-0.2366412,2008.08035,09822.97793,2121.8,2127.5
2115.375,783.6602,24.11602,9.716595,9.753091e-06,996258,-0.02563477,0.02587891,0.9904785,2.70229,-0.4351145,-0.02290076,2008.07970,09822.97768,2121.9,2127.5
2115.87,783.6119,24.15508,9.70941,9.720997e-06,998808,-0.02441406,0.02441406,0.9897461,2.717557,-0.4122138,-0.3587786,2008.07970,09822.97768,2121.9,2127.5
2115.383,783.6594,24.09668,9.754915,9.625946e-06,1013398,-0.02368164,0.02368164,0.9943848,2.717557,-0.5343512,-0.3206107,2008.07498,09822.97594,2125.2,2127.5
2115.954,783.6037,24.11133,9.613608,9.473141e-06,1014828,-0.02734375,0.02148438,0.9799805,2.603053,-0.2977099,-0.1832061,2008.07458,09822.97572,2128.2,2127.5
2115.899,783.6091,24.09668,9.611214,9.452525e-06,1016788,-0.0168457,0.01757813,0.9797363,2.48855,-0.6870229,-0.1755725,2008.07458,09822.97572,2128.2,2127.5
2115.621,783.636,24.13555,9.745335,9.557548e-06,1019648,-0.01196289,0.05151367,0.9934082,1.19084,1.465649,-0.1603053,2008.07458,09822.97572,2128.2,2127.5
2115.87,783.6119,24.15508,9.733359,9.519197e-06,1022498,-0.02661133,0.02514648,0.9921875,2.824427,-0.5801527,-0.2748091,2008.07458,09822.97572,2128.2,2127.5
2115.93,783.6061,24.16953,9.663904,9.424907e-06,1025358,-0.02441406,0.02392578,0.9851074,2.679389,-0.4503817,-0.07633588,2008.07458,09822.97572,2128.2,2127.5
2115.18,783.6791,24.11133,9.68067,9.389064e-06,1031058,-0.02758789,0.02490234,0.9868164,2.343511,-0.6183206,-0.3053435,2008.07458,09822.97572,2128.2,2127.5
2115.814,783.6174,24.14043,9.697434,9.379398e-06,1033908,-0.02661133,0.0246582,0.9885254,2.984733,-0.6183206,-0.2290076,2008.07458,09822.97572,2128.2,2127.5
2115.88,783.611,24.13555,9.81958,9.471337e-06,1036768,-0.02539063,0.02001953,1.000977,2.854962,-0.7557252,-0.2061069,2008.07458,09822.97572,2128.2,2127.5
2116.512,783.5494,24.16465,9.783655,9.42378e-06,1038188,-0.02563477,0.02392578,0.9973145,2.816794,-0.4656488,-0.2137404,2008.07458,09822.97572,2128.2,2127.
2115.603,783.6378,24.17441,9.759705,9.38778e-06,1039618,-0.0222168,0.02636719,0.994873,2.984733,-0.6793893,-0.09160305,2008.07458,09822.97572,2128.2,2127.5
2115.286,783.6688,24.15996,9.66151,9.267831e-06,1042478,-0.02099609,0.0246582,0.9848633,2.725191,-0.5801527,-0.2137404,2008.07458,09822.97572,2128.2,2127.5
2115.661,783.6323,24.18906,9.754915,9.331828e-06,1045338,-0.02807617,0.02197266,0.9943848,3.19084,-0.519084,-0.1450382,2008.07458,09822.97572,2128.2,2127.5
2115.328,783.6648,24.21328,9.66151,9.217256e-06,1048198,-0.02319336,0.02392578,0.9848633,2.580153,-0.480916,-0.2137404,2008.07458,09822.97572,2128.2,2127.5
2116.157,783.5837,24.22793,9.77168,9.296994e-06,1051058,-0.02685547,0.02734375,0.9960938,2.625954,-0.4885496,-0.1755725,2008.07458,09822.97572,2128.2,2127.5
2115.957,783.6033,24.24258,9.745335,9.246767e-06,1053918,-0.02172852,0.02587891,0.9934082,3.015267,-0.3435115,-0.1374046,2008.07458,09822.97572,2128.2,2127.5
2115.185,783.6788,24.24258,9.721385,9.19908e-06,1056778,-0.02368164,0.02880859,0.9909668,2.473282,-0.6335878,-0.1832061,2008.07458,09822.97572,2128.2,2127.5
2114.897,783.7067,24.16953,9.611214,9.070281e-06,1059638,-0.02294922,0.02612305,0.9797363,2.687023,-0.4274809,-0.1755725,2008.07458,09822.97572,2128.2,2127.5
2115.658,783.6324,24.05781,9.649534,9.081931e-06,1062498,-0.02490234,0.02758789,0.9836426,2.908397,-0.6793893,-0.3435115,2008.07458,09822.97572,2128.2,2127.5
2116.041,783.5952,23.93613,9.81958,9.217165e-06,1065358,-0.02197266,0.02587891,1.000977,2.900763,-0.7099237,-0.04580153,2008.07458,09822.97572,2128.2,2127.5
2115.592,783.639,23.8,9.764495,9.14092e-06,1068218,-0.02514648,0.02441406,0.9953613,2.427481,-0.3053435,-0.259542,2008.07458,09822.97572,2128.2,2127.5
2115.045,783.6923,23.72715,9.623189,8.984666e-06,1071068,-0.02001953,0.02563477,0.980957,2.458015,-0.5648855,-0.3358779,2008.07458,09822.97572,2128.2,2127.5
2115.621,783.6362,23.7416,9.678274,9.012033e-06,1073928,-0.02099609,0.02734375,0.9865723,2.748092,-0.6183206,-0.1526718,2008.07458,09822.97572,2128.2,2127.5
2115.78,783.6206,23.67363,9.685459,8.994769e-06,1076788,-0.02416992,0.02490234,0.9873047,2.748092,-0.4656488,-0.2977099,2008.07458,09822.97572,2128.2,2127.5
2115.888,783.6101,23.59082,9.726174,9.00857e-06,1079658,-0.02172852,0.02758789,0.9914551,2.40458,-0.4122138,-0.2137404,2008.07458,09822.97572,2128.2,2127.5
2115.125,783.6847,23.57148,9.74294,9.012162e-06,1081088,-0.02246094,0.02124023,0.9931641,2.603053,-0.4503817,-0.1374046,2008.07458,09822.97572,2128.2,2127.5
2116.004,783.5988,23.48867,9.687855,8.925871e-06,1085368,-0.02392578,0.02612305,0.9875488,2.770992,-0.6717557,-0.03053435,2008.07458,09822.97572,2128.2,2127.5
2115.637,783.6345,23.57148,9.7142,8.903223e-06,1091088,-0.02270508,0.02075195,0.9902344,2.847328,-0.4656488,-0.2213741,2008.07458,09822.97572,2128.2,2127.5
2115.544,783.6437,23.63457,9.697434,8.853048e-06,1095378,-0.02539063,0.02539063,0.9885254,2.40458,-0.7251908,-0.1908397,2008.07458,09822.97572,2128.2,2127.5
2115.399,783.6577,23.66387,9.75252,8.880152e-06,1098238,-0.02856445,0.01928711,0.9941406,2.954198,-0.8473283,-0.3664122,2008.07458,09822.97572,2128.2,2127.5
2115.925,783.5812,23.64434,9.69504,8.804884e-06,1101098,-0.0246582,0.02368164,0.9882813,2.633588,-0.5496183,-0.1832061,2008.07458,09822.97572,2128.2,2127.5
2115.629,783.6353,23.59082,9.764495,8.844988e-06,1103958,-0.02709961,0.02636719,0.9953613,2.763359,-0.6183206,-0.09160305,2008.07458,09822.97572,2128.2,2127.5
2115.933,783.6057,23.625,9.718989,8.687148e-06,1118778,-0.02490234,0.02172852,0.9907227,2.343511,-0.4732824,-0.1145038,2008.07918,09822.97784,2123.2,2127.5
2115.534,783.6446,23.6541,9.75252,8.696441e-06,1121438,-0.02294922,0.02416992,0.9941406,2.832061,-0.480916,-0.2290076,2008.07898,09822.97795,2123.2,2127.5
2115.455,783.6523,23.67852,9.697434,8.636385e-06,1122858,-0.02490234,0.0246582,0.9885254,2.709924,-0.4427481,0.03053435,2008.07956,09822.97833,2123.2,2127.5
2115.479,783.6501,23.63945,9.651929,8.58088e-06,1124818,-0.03222656,0.02441406,0.9838867,2.854962,-0.4961832,-0.09923664,2008.07956,09822.97833,2123.2,2127.5
2115.888,783.6101,23.59082,9.668694,8.576266e-06,1127378,-0.02270508,0.01782227,0.9855957,2.519084,-0.4351145,-0.4503817,2008.08079,09822.97887,2123.2,2127.5
2115.772,783.6213,23.56172,9.716595,8.607836e-06,1128808,-0.02587891,0.0222168,0.9904785,2.587786,-0.5419847,-0.4045802,2008.08176,09822.97883,2123.7,2127.5
2115.944,783.6046,23.47422,9.697434,8.556449e-06,1133348,-0.02514648,0.02636719,0.9885254,2.564885,-0.5496183,-0.2748091,2008.08337,09822.97935,2123.9,2127.5
2115.621,783.6362,23.4791,9.702225,8.549888e-06,1134778,-0.02612305,0.02124023,0.9890137,2.290076,-0.519084,-0.1984733,2008.08524,09822.98009,2123.3,2127.5
2115.679,783.6306,23.49356,9.721385,8.547339e-06,1137358,-0.02392578,0.02001953,0.9909668,2.503817,-0.7709923,-0.1450382,2008.08558,09822.98028,2123.2,2127
2115.582,783.64,23.55684,9.659114,8.477309e-06,1139408,-0.02246094,0.02441406,0.9846191,2.847328,-0.6412213,-0.2671756,2008.08575,09822.98041,2123.2,2127.5
2115.706,783.628,23.5666,9.673484,8.483741e-06,1140238,-0.01757813,0.0144043,0.986084,2.480916,-0.5267176,-0.3053435,2008.08575,09822.98041,2123.2,2127.5
2115.637,783.6345,23.57148,9.565708,8.382457e-06,1141158,-0.02368164,0.02270508,0.9750977,2.725191,-0.6870229,-0.1984733,2008.08575,09822.98041,2123.2,2127
2114.971,783.6996,23.62012,9.687855,8.466569e-06,1144248,-0.02514648,0.02416992,0.9875488,2.641221,-0.3282443,-0.2977099,2008.08576,09822.98067,2123.0,2127.5
2115.611,783.6373,23.62988,9.721385,8.488973e-06,1145178,-0.02124023,0.02197266,0.9909668,2.572519,-0.4503817,-0.2977099,2008.08576,09822.98067,2123.0,2127.5
2115.793,783.6194,23.6541,9.716595,8.474726e-06,1146538,-0.02319336,0.02539063,0.9904785,2.664122,-0.4732824,0.03053435,2008.08451,09822.97992,2122.8,2127.5
2115.344,783.6632,23.64922,9.702225,8.456071e-06,1147368,-0.02490234,0.02441406,0.9890137,3.007634,-0.8549618,-0.2290076,2008.08451,09822.97992,2122.8,2127
2115.209,783.6763,23.65899,9.750125,8.490936e-06,1148298,-0.02026367,0.02124023,0.9938965,2.847328,-0.7175572,-0.2061069,2008.08451,09822.97992,2122.8,2127.5
2115.589,783.6392,23.66875,9.707015,8.447288e-06,1149128,-0.02587891,0.02124023,0.989502,2.877863,-0.3969466,-0.02290076,2008.08451,09822.97992,2122.8,2127.5
2115.264,783.6708,23.67363,9.754915,8.478274e-06,1150578,-0.02685547,0.01733398,0.9943848,2.656489,-0.5572519,-0.2290076,2008.08464,09822.98005,2123.0,2127.5
2115.965,783.6027,23.69785,9.764495,8.469963e-06,1152838,-0.02807617,0.0234375,0.9953613,2.603053,-0.8015267,-0.2900764,2008.08464,09822.98005,2123.0,2127.5
2115.259,783.6716,23.69297,9.740545,8.440915e-06,1153968,-0.02539063,0.02368164,0.9929199,2.610687,-0.480916,-0.3129771,2008.08464,09822.98005,2123.0,2127.5
2115.259,783.6716,23.69297,9.73815,8.434234e-06,1154598,-0.02539063,0.02587891,0.9926758,2.870229,-0.519084,-0.1603053,2008.08453,09822.97992,2123.0,2127.5
2115.325,783.6651,23.68809,9.721385,8.413666e-06,1155428,-0.02783203,0.02514648,0.9909668,2.534351,-0.5496183,-0.1374046,2008.08453,09822.97992,2123.0,2127.5
2115.0,783.6967,23.69297,9.69504,8.384841e-06,1156258,-0.02246094,0.02709961,0.9882813,2.900763,-0.5572519,-0.2824428,2008.08453,09822.97992,2123.0,2127.5
2115.259,783.6716,23.69297,9.697434,8.380968e-06,1157078,-0.02490234,0.0222168,0.9885254,2.732824,-0.5267176,-0.1679389,2008.08453,09822.97992,2123.0,2127.5
2115.611,783.6373,23.76113,9.673484,8.309925e-06,1164088,-0.02539063,0.02758789,0.986084,2.717557,-0.4274809,-0.1679389,2008.08347,09822.97913,2123.1,2127.5
2115.476,783.6503,23.7709,9.72857,8.350574e-06,1165018,-0.02636719,0.02148438,0.9916992,2.633588,-0.2671756,-0.1145038,2008.08347,09822.97913,2123.1,2127.5
2115.793,783.6194,23.78535,9.68067,8.287549e-06,1168098,-0.02612305,0.02319336,0.9868164,2.839695,-0.4580153,-0.5114504,2008.08427,09822.97981,2123.1,2127.5
2116.24,783.5759,23.79023,9.632769,8.236247e-06,1169558,-0.02539063,0.02539063,0.9819336,2.656489,-0.2366412,0.01526718,2008.08526,09822.98089,2123.3,2127.5
2116.382,783.562,23.76113,9.721385,8.306122e-06,1170388,-0.02636719,0.02124023,0.9909668,2.770992,-0.2366412,-0.03816794,2008.08526,09822.98089,2123.3,2127.5
2115.925,783.6064,23.64434,9.707015,8.265243e-06,1174438,-0.02368164,0.02368164,0.989502,2.740458,-0.3664122,-0.129771,2008.08480,09822.98050,2123.4,2127.5
2115.811,783.6177,23.61523,9.718989,8.253722e-06,1177528,-0.02050781,0.02124023,0.9907227,2.801527,-0.610687,-0.2137404,2008.08503,09822.98059,2123.5,2127.5
2115.154,783.6818,23.64434,9.769285,8.290592e-06,1178358,-0.02539063,0.02270508,0.9958496,2.748092,-0.4045802,-0.3435115,2008.08503,09822.98059,2123.5,2127.5
2115.154,783.6818,23.64434,9.651929,8.184539e-06,1179288,-0.02563477,0.02050781,0.9838867,2.572519,-0.648855,-0.1603053,2008.08503,09822.98059,2123.5,2127.5
2115.154,783.6818,23.64434,9.72378,8.239667e-06,1180118,-0.02368164,0.02807617,0.9912109,2.48855,-0.4122138,-0.4503817,2008.08503,09822.98059,2123.5,2127.5
2115.714,783.6271,23.67852,9.673484,8.174951e-06,1183308,-0.02197266,0.02563477,0.986084,2.320611,-0.4427481,-0.0610687,2008.08350,09822.97947,2123.4,2127.5
2114.934,783.7032,23.69785,9.70941,8.199559e-06,1184138,-0.02416992,0.0246582,0.9897461,2.717557,-0.5496183,-0.1832061,2008.08350,09822.97947,2123.4,2127.5
2115.18,783.6791,23.71738,9.70941,8.189463e-06,1185598,-0.02026367,0.02563477,0.9897461,2.496183,-0.7709923,-0.2900764,2008.08310,09822.97923,2123.5,2127.5
2114.982,783.6985,23.73184,9.740545,8.209976e-06,1186428,-0.02172852,0.02026367,0.9929199,2.969466,-0.6030535,-0.1374046,2008.08310,09822.97923,2123.5,2127.5
2115.296,783.6679,23.74648,9.77168,8.22471e-06,1188088,-0.02148438,0.02246094,0.9960938,2.854962,-0.6335878,0.06870229,2008.08310,09822.97923,2123.5,2127.5
2115.344,783.6631,23.78047,9.699829,8.135338e-06,1192308,-0.02685547,0.02270508,0.9887695,2.694656,-0.4045802,-0.1603053,2008.08216,09822.97852,2123.5,2127.5
2115.523,783.6456,23.80488,9.735755,8.145998e-06,1195158,-0.02270508,0.02807617,0.9924316,2.954198,-0.4045802,-0.1374046,2008.08216,09822.97852,2123.5,2127.5
2115.151,783.7072,23.77578,9.766891,8.15254e-06,1198018,-0.02099609,0.02563477,0.9956055,2.656489,-0.4198473,-0.3282443,2008.08216,09822.97852,2123.5,2127.5
2115.439,783.6539,23.84863,9.616004,8.007478e-06,1200878,-0.02124023,0.02441406,0.9802246,2.625954,-0.3664122,-0.3129771,2008.08216,09822.97852,2123.5,2127.5
2114.847,783.7115,23.87285,9.663904,8.028245e-06,1203738,-0.01904297,0.02587891,0.9851074,2.641221,-0.7022901,-0.2137404,2008.08216,09822.97852,2123.5,2127.5
2115.219,783.6754,23.90215,9.666299,8.0112e-06,1206598,-0.02392578,0.02319336,0.9853516,2.992366,-0.8091603,-0.3358779,2008.08216,09822.97852,2123.5,2127.5
2115.219,783.6754,23.90215,9.893826,8.18038e-06,1209458,-0.02978516,0.01611328,1.008545,2.687023,-0.6564885,-0.3358779,2008.08216,09822.97852,2123.5,2127.5
2114.76,783.7202,23.9168,9.769285,8.067868e-06,1210888,-0.02368164,0.02416992,0.9958496,2.793893,-0.740458,-0.129771,2008.08216,09822.97852,2123.5,212
2115.201,783.6771,23.94102,9.78126,8.068296e-06,1212308,-0.02539063,0.02539063,0.9970703,2.641221,-0.5114504,-0.3969466,2008.08216,09822.97852,2123.5,2127.5
2115.457,783.652,23.94102,9.7621,8.043005e-06,1213738,-0.02563477,0.02636719,0.9951172,2.549618,-0.5877862,-0.3435115,2008.08216,09822.97852,2123.5,
2115.637,783.6345,23.96543,9.7142,7.994186e-06,1215158,-0.03100586,0.01489258,0.9902344,2.770992,-0.6030535,-0.1603053,2008.08216,09822.97852,2123.5,2127.5
2115.251,783.6724,23.975,9.175321,7.532993e-06,1218018,-0.02001953,0.03857422,0.9353027,3.625954,-1.358779,-0.07633588,2008.08216,09822.97852,2123.5,2127.5
2114.789,783.7173,23.98965,9.639954,7.886746e-06,1222298,-0.02368164,0.0246582,0.982666,2.862595,-0.7175572,-0.3129771,2008.08216,09822.97852,2123.5,2127.5
2115.497,783.6483,23.99453,9.831555,8.034101e-06,1223728,-0.02636719,0.02246094,1.002197,2.427481,-0.1221374,-0.01526718,2008.08216,09822.97852,2123.5,2127
2115.552,783.6428,24.00918,9.800421,7.999311e-06,1225158,-0.01879883,0.02197266,0.9990234,2.717557,-0.3664122,-0.1755725,2008.08216,09822.97852,2123.5,2127.5
2115.362,783.6613,24.0043,9.656719,7.863727e-06,1228008,-0.02368164,0.01904297,0.984375,2.748092,-0.5267176,-0.259542,2008.08216,09822.97852,2123.5,2127.5
2114.733,783.7227,23.975,9.66151,7.85854e-06,1229428,-0.02832031,0.0222168,0.9848633,2.89313,-0.519084,-0.3969466,2008.08216,09822.97852,2123.5,21
2115.125,783.6847,23.96543,9.685459,7.868932e-06,1230848,-0.02661133,0.02539063,0.9873047,2.847328,-0.6717557,-0.07633588,2008.08216,09822.97852,2123.5,2127.5
2115.251,783.6724,23.975,9.711804,7.872045e-06,1233708,-0.02319336,0.02416992,0.9899902,2.648855,-0.4656488,-0.389313,2008.08216,09822.97852,2123.5,2127.5
2115.037,783.6931,24.00918,9.730965,7.869396e-06,1236558,-0.02197266,0.02172852,0.9919434,2.755725,-0.4122138,-0.3358779,2008.08216,09822.97852,2123.5,2127.5
2114.781,783.7181,24.00918,9.637559,7.784856e-06,1237988,-0.02270508,0.02661133,0.9824219,2.877863,-0.5496183,-0.4198473,2008.08216,09822.97852,2123.5,2127.5
2115.164,783.6807,24.01875,9.740545,7.858967e-06,1239418,-0.02807617,0.02050781,0.9929199,2.687023,-0.7175572,-0.2824428,2008.08216,09822.97852,2123.5,2127.5
2115.354,783.6621,24.02363,9.671089,7.785027e-06,1242268,-0.02880859,0.02319336,0.9858398,2.496183,-0.5801527,-0.1832061,2008.08216,09822.97852,2123.5,2127.5
2115.098,783.6873,24.02363,9.740545,7.822927e-06,1245128,-0.02685547,0.02685547,0.9929199,2.503817,-0.7251908,-0.1374046,2008.08216,09822.97852,2123.5,2127.5
2115.085,783.6884,24.04316,9.7142,7.766215e-06,1250828,-0.0222168,0.02661133,0.9902344,2.519084,-0.5648855,-0.1068702,2008.08216,09822.97852,2123.5,2127.5
2114.704,783.7255,24.0334,9.73815,7.741236e-06,1257958,-0.02636719,0.02416992,0.9926758,2.740458,-0.7709923,-0.351145,2008.08216,09822.97852,2123.5,2127.5
2114.733,783.7227,23.975,9.74294,7.710109e-06,1263658,-0.02270508,0.02441406,0.9931641,2.412214,-0.4122138,-0.1832061,2008.08216,09822.97852,2123.5,2127.5
2115.251,783.6724,23.975,9.697434,7.656828e-06,1266508,-0.02563477,0.0222168,0.9885254,2.664122,-0.5114504,-0.2213741,2008.08216,09822.97852,2123.5,2127.5
2115.275,783.6699,23.9168,9.690249,7.634037e-06,1269348,-0.02563477,0.02685547,0.987793,2.877863,-0.2824428,-0.1984733,2008.08216,09822.97852,2123.5,2127.5
2114.77,783.7191,23.89727,9.616004,7.558516e-06,1272208,-0.02539063,0.02758789,0.9802246,2.763359,-0.7175572,-0.1145038,2008.08216,09822.97852,2123.5,2127.5
2114.828,783.7136,23.91191,9.697434,7.605425e-06,1275068,-0.02416992,0.02197266,0.9885254,2.80916,-0.4503817,-0.129771,2008.08216,09822.97852,2123.5,2127.5
